Changing process size to 1000 records
0.012 seconds for import_csv to run
0.427 seconds for insert_into_table to run
0.019 seconds for import_csv to run
0.53 seconds for insert_into_table to run
0.015 seconds for import_csv to run
0.408 seconds for insert_into_table to run
1.415 seconds for import_data to run
0.022 seconds for show_available_products to run
0.024 seconds for show_rentals to run
Changing process size to 2000 records
0.027 seconds for import_csv to run
0.785 seconds for insert_into_table to run
0.048 seconds for import_csv to run
0.708 seconds for insert_into_table to run
0.036 seconds for import_csv to run
0.721 seconds for insert_into_table to run
2.33 seconds for import_data to run
0.006 seconds for show_available_products to run
0.019 seconds for show_rentals to run
Changing process size to 3000 records
0.034 seconds for import_csv to run
1.169 seconds for insert_into_table to run
0.066 seconds for import_csv to run
1.139 seconds for insert_into_table to run
0.05 seconds for import_csv to run
1.077 seconds for insert_into_table to run
3.544 seconds for import_data to run
0.016 seconds for show_available_products to run
0.027 seconds for show_rentals to run
Changing process size to 4000 records
0.049 seconds for import_csv to run
1.507 seconds for insert_into_table to run
0.106 seconds for import_csv to run
1.739 seconds for insert_into_table to run
0.057 seconds for import_csv to run
1.629 seconds for insert_into_table to run
5.093 seconds for import_data to run
0.024 seconds for show_available_products to run
0.014 seconds for show_rentals to run
Changing process size to 5000 records
0.066 seconds for import_csv to run
1.959 seconds for insert_into_table to run
0.094 seconds for import_csv to run
2.096 seconds for insert_into_table to run
0.074 seconds for import_csv to run
2.09 seconds for insert_into_table to run
6.388 seconds for import_data to run
0.012 seconds for show_available_products to run
0.026 seconds for show_rentals to run
Changing process size to 6000 records
0.074 seconds for import_csv to run
2.455 seconds for insert_into_table to run
0.118 seconds for import_csv to run
2.643 seconds for insert_into_table to run
0.124 seconds for import_csv to run
2.428 seconds for insert_into_table to run
7.856 seconds for import_data to run
0.013 seconds for show_available_products to run
0.03 seconds for show_rentals to run
Changing process size to 7000 records
0.088 seconds for import_csv to run
2.808 seconds for insert_into_table to run
0.149 seconds for import_csv to run
2.863 seconds for insert_into_table to run
0.1 seconds for import_csv to run
2.985 seconds for insert_into_table to run
9.005 seconds for import_data to run
0.015 seconds for show_available_products to run
0.028 seconds for show_rentals to run
Changing process size to 8000 records
0.125 seconds for import_csv to run
3.62 seconds for insert_into_table to run
0.187 seconds for import_csv to run
3.486 seconds for insert_into_table to run
0.143 seconds for import_csv to run
4.139 seconds for insert_into_table to run
11.721 seconds for import_data to run
0.017 seconds for show_available_products to run
0.033 seconds for show_rentals to run
Changing process size to 9000 records
0.109 seconds for import_csv to run
3.849 seconds for insert_into_table to run
0.185 seconds for import_csv to run
3.614 seconds for insert_into_table to run
0.15 seconds for import_csv to run
4.32 seconds for insert_into_table to run
12.252 seconds for import_data to run
0.014 seconds for show_available_products to run
0.022 seconds for show_rentals to run
Changing process size to 10000 records
0.121 seconds for import_csv to run
4.178 seconds for insert_into_table to run
0.206 seconds for import_csv to run
4.081 seconds for insert_into_table to run
0.161 seconds for import_csv to run
4.094 seconds for insert_into_table to run
12.869 seconds for import_data to run
0.017 seconds for show_available_products to run
0.026 seconds for show_rentals to run
