user_id,product_id,quantity
aardsda01,prod000005,3
aaronha01,prod000006,4
aaronto01,prod000011,10
aasedo01,prod000002,2
abadan01,prod000016,2
abadfe01,prod000002,7
abadijo01,prod000017,1
abbated01,prod000011,5
abbeybe01,prod000016,1
abbeych01,prod000011,4
abbotda01,prod000009,4
abbotfr01,prod000007,3
abbotgl01,prod000008,10
abbotje01,prod000016,1
abbotji01,prod000005,4
abbotku01,prod000002,5
abbotky01,prod000002,4
abbotod01,prod000017,8
abbotpa01,prod000005,5
aberal01,prod000013,6
abercda01,prod000003,13
abercre01,prod000012,4
abernbi01,prod000002,8
abernbr01,prod000007,8
abernte01,prod000015,5
abernte02,prod000011,10
abernwo01,prod000001,2
aberscl01,prod000009,12
ablesha01,prod000009,4
abnersh01,prod000006,9
abramca01,prod000013,15
abramge01,prod000004,2
abregjo01,prod000007,4
abreubo01,prod000004,1
abreujo01,prod000002,6
abreujo02,prod000003,1
abreuju01,prod000001,7
abreuto01,prod000012,7
abreuwi01,prod000001,9
abstebi01,prod000005,8
accarje01,prod000012,18
aceveal01,prod000003,12
acevejo01,prod000014,16
aceveju01,prod000006,7
achteaj01,prod000008,9
ackerji01,prod000012,2
ackerto01,prod000018,1
ackledu01,prod000002,3
acklefr01,prod000006,12
acostcy01,prod000012,2
acosted01,prod000011,8
acostjo01,prod000005,3
acostma01,prod000018,3
acostme01,prod000003,9
acrema01,prod000004,1
actama99,prod000004,2
acunaro01,prod000017,4
adairbi99,prod000004,2
adairje01,prod000003,7
adairji01,prod000008,2
adamecr01,prod000013,9
adamewi01,prod000004,1
adamja01,prod000006,6
adamsac01,prod000003,3
adamsau01,prod000017,12
adamsau02,prod000001,13
adamsba01,prod000007,1
adamsbe01,prod000011,4
adamsbo01,prod000009,7
adamsbo02,prod000005,4
adamsbo03,prod000016,2
adamsbo04,prod000009,8
adamsbu01,prod000016,2
adamsch01,prod000001,14
adamsda01,prod000010,2
adamsda02,prod000013,15
adamsdi01,prod000009,6
adamsdo01,prod000009,12
adamsge01,prod000013,3
adamsgl01,prod000002,4
adamshe01,prod000009,10
adamsji01,prod000018,5
adamsjo01,prod000005,8
adamsjo02,prod000004,2
adamska01,prod000018,5
adamsla01,prod000011,7
adamsma01,prod000012,14
adamsmi01,prod000013,11
adamsmi02,prod000001,7
adamsmi03,prod000012,9
adamsre01,prod000007,3
adamsri01,prod000003,4
adamsri02,prod000008,6
adamsru01,prod000008,3
adamsry01,prod000008,7
adamssp01,prod000010,2
adamssp02,prod000014,14
adamste01,prod000014,14
adamswi01,prod000006,9
adamswi02,prod000009,12
adcocjo01,prod000005,1
adcocna01,prod000016,2
addisbo01,prod000002,1
adducji01,prod000015,2
adducji02,prod000005,2
addybo01,prod000017,5
adenhni01,prod000018,14
aderhmo01,prod000015,4
adkinde01,prod000013,11
adkindi01,prod000012,2
adkindo01,prod000016,1
adkingr01,prod000016,1
adkinhe01,prod000004,2
adkinjo01,prod000011,10
adkinst01,prod000004,2
adlemti01,prod000008,9
adlesda01,prod000006,7
adriaeh01,prod000013,2
afenitr01,prod000006,5
affelje01,prod000009,1
agbaybe01,prod000008,2
ageeto01,prod000002,7
agganha01,prod000016,2
aglerjo01,prod000003,13
agnewsa01,prod000001,14
agostju01,prod000014,12
aguaylu01,prod000003,11
aguilch01,prod000003,14
aguilje01,prod000018,3
aguilri01,prod000013,15
aguirha01,prod000003,4
ahearch01,prod000015,6
ahearpa01,prod000012,3
ahmedni01,prod000017,10
aikenwi01,prod000003,7
aingeda01,prod000002,7
ainsmed01,prod000007,6
ainswku01,prod000007,4
aitchra01,prod000009,3
aitonge01,prod000006,6
akejo01,prod000006,4
akerfda01,prod000012,13
akerja01,prod000007,4
akersbi01,prod000012,18
akersje01,prod000017,3
albagi01,prod000011,2
albaljo01,prod000011,8
albanjo01,prod000003,2
alberan01,prod000006,9
alberbu01,prod000009,8
albercy01,prod000013,20
albergu01,prod000016,2
alberha01,prod000001,6
