"rental_id","product_id","user_id","dt_start","dt_end","quantity"
1,E0001,U003,"2009-01-14","2011-01-13",2
2,E0001,U002,"2009-07-14","2009-09-13",1
3,E0001,U002,"2009-09-14","2009-11-13",1
4,E0001,U002,"2009-12-14","2010-12-13",1
5,F0001,U001,"2010-02-14","2013-12-03",1
6,F0001,U002,"2010-10-14","2015-02-13",1
7,F0001,U003,"2011-08-14","2014-12-08",1
8,I0003,U003,"2018-08-14","2014-12-01",1
9,I0003,U003,"2017-08-14","2019-02-04",11
10,I0003,U003,"2011-08-14","2014-01-02",2
11,I0003,U002,"2015-08-14","2019-06-08",13
12,I0003,U002,"2013-08-14","2017-12-08",1
"R01876","P01876","U01876","0000-00-00","9999-99-99",1876
"R00568","P00568","U00568","0000-00-00","9999-99-99",568
"R02990","P02990","U02990","0000-00-00","9999-99-99",2990
"R04392","P04392","U04392","0000-00-00","9999-99-99",4392
"R09635","P09635","U09635","0000-00-00","9999-99-99",9635
"R08402","P08402","U08402","0000-00-00","9999-99-99",8402
"R05156","P05156","U05156","0000-00-00","9999-99-99",5156
"R05206","P05206","U05206","0000-00-00","9999-99-99",5206
"R08045","P08045","U08045","0000-00-00","9999-99-99",8045
"R05245","P05245","U05245","0000-00-00","9999-99-99",5245
"R02212","P02212","U02212","0000-00-00","9999-99-99",2212
"R03181","P03181","U03181","0000-00-00","9999-99-99",3181
"R06499","P06499","U06499","0000-00-00","9999-99-99",6499
"R02943","P02943","U02943","0000-00-00","9999-99-99",2943
"R08653","P08653","U08653","0000-00-00","9999-99-99",8653
"R02442","P02442","U02442","0000-00-00","9999-99-99",2442
"R07919","P07919","U07919","0000-00-00","9999-99-99",7919
"R00539","P00539","U00539","0000-00-00","9999-99-99",539
"R06149","P06149","U06149","0000-00-00","9999-99-99",6149
"R01497","P01497","U01497","0000-00-00","9999-99-99",1497
"R09519","P09519","U09519","0000-00-00","9999-99-99",9519
"R04394","P04394","U04394","0000-00-00","9999-99-99",4394
"R07953","P07953","U07953","0000-00-00","9999-99-99",7953
"R00184","P00184","U00184","0000-00-00","9999-99-99",184
"R01456","P01456","U01456","0000-00-00","9999-99-99",1456
"R07344","P07344","U07344","0000-00-00","9999-99-99",7344
"R07244","P07244","U07244","0000-00-00","9999-99-99",7244
"R09254","P09254","U09254","0000-00-00","9999-99-99",9254
"R09036","P09036","U09036","0000-00-00","9999-99-99",9036
"R07707","P07707","U07707","0000-00-00","9999-99-99",7707
"R05152","P05152","U05152","0000-00-00","9999-99-99",5152
"R06395","P06395","U06395","0000-00-00","9999-99-99",6395
"R05550","P05550","U05550","0000-00-00","9999-99-99",5550
"R05967","P05967","U05967","0000-00-00","9999-99-99",5967
"R01851","P01851","U01851","0000-00-00","9999-99-99",1851
"R05799","P05799","U05799","0000-00-00","9999-99-99",5799
"R07144","P07144","U07144","0000-00-00","9999-99-99",7144
"R04655","P04655","U04655","0000-00-00","9999-99-99",4655
"R09256","P09256","U09256","0000-00-00","9999-99-99",9256
"R07943","P07943","U07943","0000-00-00","9999-99-99",7943
"R02190","P02190","U02190","0000-00-00","9999-99-99",2190
"R05989","P05989","U05989","0000-00-00","9999-99-99",5989
"R04230","P04230","U04230","0000-00-00","9999-99-99",4230
"R01367","P01367","U01367","0000-00-00","9999-99-99",1367
"R04036","P04036","U04036","0000-00-00","9999-99-99",4036
"R04996","P04996","U04996","0000-00-00","9999-99-99",4996
"R01141","P01141","U01141","0000-00-00","9999-99-99",1141
"R08586","P08586","U08586","0000-00-00","9999-99-99",8586
"R05642","P05642","U05642","0000-00-00","9999-99-99",5642
