product_id,description,product_type,quantiry_available,
product_01,desc_01,type_01,44,Yes
product_02,desc_02,type_02,93,No
product_03,desc_03,type_03,12,Yes
product_04,desc_04,type_04,54,Yes
product_05,desc_05,type_05,28,No
product_06,desc_06,type_06,97,No
product_07,desc_07,type_07,80,No
product_08,desc_08,type_08,96,No
product_09,desc_09,type_09,94,Yes
product_10,desc_10,type_10,25,No
product_11,desc_11,type_11,66,Yes
product_12,desc_12,type_12,50,Yes
product_13,desc_13,type_13,4,Yes
product_14,desc_14,type_14,6,Yes
product_15,desc_15,type_15,77,Yes
product_16,desc_16,type_16,3,No
product_17,desc_17,type_17,32,No
product_18,desc_18,type_18,2,No
product_19,desc_19,type_19,82,No
product_20,desc_20,type_20,22,No
product_21,desc_21,type_21,86,Yes
product_22,desc_22,type_22,86,No
product_23,desc_23,type_23,75,Yes
product_24,desc_24,type_24,82,No
product_25,desc_25,type_25,39,No
product_26,desc_26,type_26,60,No
product_27,desc_27,type_27,90,Yes
product_28,desc_28,type_28,0,Yes
product_29,desc_29,type_29,42,No
product_30,desc_30,type_30,17,No
product_31,desc_31,type_31,8,Yes
product_32,desc_32,type_32,33,No
product_33,desc_33,type_33,48,No
product_34,desc_34,type_34,60,No
product_35,desc_35,type_35,71,Yes
product_36,desc_36,type_36,50,Yes
product_37,desc_37,type_37,27,Yes
product_38,desc_38,type_38,62,Yes
product_39,desc_39,type_39,100,Yes
product_40,desc_40,type_40,10,Yes
product_41,desc_41,type_41,55,No
product_42,desc_42,type_42,72,Yes
product_43,desc_43,type_43,95,No
product_44,desc_44,type_44,51,Yes
product_45,desc_45,type_45,23,Yes
product_46,desc_46,type_46,64,No
product_47,desc_47,type_47,70,No
product_48,desc_48,type_48,70,No
product_49,desc_49,type_49,30,No
product_50,desc_50,type_50,84,No
product_51,desc_51,type_51,53,No
product_52,desc_52,type_52,85,Yes
product_53,desc_53,type_53,1,No
product_54,desc_54,type_54,37,Yes
product_55,desc_55,type_55,93,No
product_56,desc_56,type_56,55,No
product_57,desc_57,type_57,39,No
product_58,desc_58,type_58,8,No
product_59,desc_59,type_59,72,No
product_60,desc_60,type_60,98,No
product_61,desc_61,type_61,91,Yes
product_62,desc_62,type_62,31,No
product_63,desc_63,type_63,12,Yes
product_64,desc_64,type_64,40,Yes
product_65,desc_65,type_65,68,No
product_66,desc_66,type_66,40,No
product_67,desc_67,type_67,74,Yes
product_68,desc_68,type_68,16,No
product_69,desc_69,type_69,39,No
product_70,desc_70,type_70,98,Yes
product_71,desc_71,type_71,78,Yes
product_72,desc_72,type_72,14,No
product_73,desc_73,type_73,74,Yes
product_74,desc_74,type_74,80,Yes
product_75,desc_75,type_75,20,Yes
product_76,desc_76,type_76,30,No
product_77,desc_77,type_77,66,No
product_78,desc_78,type_78,59,No
product_79,desc_79,type_79,53,No
product_80,desc_80,type_80,6,No
product_81,desc_81,type_81,91,Yes
product_82,desc_82,type_82,75,Yes
product_83,desc_83,type_83,16,No
product_84,desc_84,type_84,23,Yes
product_85,desc_85,type_85,32,No
product_86,desc_86,type_86,96,No
product_87,desc_87,type_87,8,Yes
product_88,desc_88,type_88,31,Yes
product_89,desc_89,type_89,88,No
product_90,desc_90,type_90,7,Yes
product_91,desc_91,type_91,59,No
product_92,desc_92,type_92,99,Yes
product_93,desc_93,type_93,30,No
product_94,desc_94,type_94,84,No
product_95,desc_95,type_95,81,Yes
product_96,desc_96,type_96,98,Yes
product_97,desc_97,type_97,87,Yes
product_98,desc_98,type_98,65,No
product_99,desc_99,type_99,34,Yes
product_100,desc_100,type_100,57,Yes
product_101,desc_101,type_101,49,Yes
product_102,desc_102,type_102,36,Yes
product_103,desc_103,type_103,84,No
product_104,desc_104,type_104,35,Yes
product_105,desc_105,type_105,51,Yes
product_106,desc_106,type_106,41,Yes
product_107,desc_107,type_107,82,Yes
product_108,desc_108,type_108,41,Yes
product_109,desc_109,type_109,86,No
product_110,desc_110,type_110,4,Yes
product_111,desc_111,type_111,64,Yes
product_112,desc_112,type_112,39,No
product_113,desc_113,type_113,48,Yes
product_114,desc_114,type_114,30,No
product_115,desc_115,type_115,69,No
product_116,desc_116,type_116,60,Yes
product_117,desc_117,type_117,40,No
product_118,desc_118,type_118,43,Yes
product_119,desc_119,type_119,98,Yes
product_120,desc_120,type_120,14,No
product_121,desc_121,type_121,5,No
product_122,desc_122,type_122,85,Yes
product_123,desc_123,type_123,41,No
product_124,desc_124,type_124,80,No
product_125,desc_125,type_125,35,No
product_126,desc_126,type_126,59,No
product_127,desc_127,type_127,35,Yes
product_128,desc_128,type_128,38,No
product_129,desc_129,type_129,40,Yes
product_130,desc_130,type_130,92,Yes
product_131,desc_131,type_131,77,Yes
product_132,desc_132,type_132,93,Yes
product_133,desc_133,type_133,85,Yes
product_134,desc_134,type_134,43,Yes
product_135,desc_135,type_135,28,Yes
product_136,desc_136,type_136,41,Yes
product_137,desc_137,type_137,93,No
product_138,desc_138,type_138,36,No
product_139,desc_139,type_139,91,Yes
product_140,desc_140,type_140,28,Yes
