product_id, description, product_type, quantity
prod000, 50-inch TV, electronics, 4
prod001, leather couch, furniture, 2
prod002, leather chair, furniture, 3
prod003, blu-ray player, electronics, 8
prod4,gUGdDDMIkWIndBB,appliances,2
prod5,yNrvXfqftqXYSvB,electronics,9
prod6,VdGpBotMoWjaPKL,electronics,9
prod7,TwlnYRliasZgSEX,appliances,13
prod8,hfzgWcQrenEPJVm,furniture,5
prod9,UuhMkEykhqrYMbB,electronics,13
prod10,lMjSthDcFqiDqTc,furniture,13
prod11,ALrEYTVSjQduQSI,appliances,8
prod12,BjxjDyjrxjLWhAT,electronics,1
prod13,dRmvZdADDOYpfgY,furniture,11
prod14,zfDqYzREMzCtaZp,electronics,15
prod15,DkGvAMUIDrAYzda,appliances,6
prod16,yyOcUEsZszevIan,appliances,11
prod17,cgMMTWhwdkQuaPz,electronics,10
prod18,WwRrfbeEUxhqlwj,electronics,12
prod19,OqdeLvPnPRnVQve,appliances,13
prod20,QnolVwPthbZkXzp,appliances,3
prod21,AHyAzbggXOcaNBV,appliances,3
prod22,MXZwATlUiTOWsLu,electronics,13
prod23,ilTAxOuxGXECcqj,appliances,12
prod24,NTGIGkeHfoWbmBi,furniture,7
prod25,IjvlUqikOkWMOWY,appliances,7
prod26,EyGvIUzqiLbUtck,furniture,8
prod27,FmrOeTjBXJWVCmM,electronics,1
prod28,QzVwNjzyCptFaph,appliances,15
prod29,yJYdogFuiDtIafA,appliances,2
prod30,csboQOsSXLoXOwl,appliances,13
prod31,yXmItwnFGYZvXTK,appliances,14
prod32,JJTleYDyoNtbxCm,electronics,1
prod33,gJscXDgaAaOzwsc,furniture,10
prod34,gcLqYaMqHTyPwlo,appliances,14
prod35,WCbozLDKsrngKwM,furniture,2
prod36,vPkAAPhmdccKvcy,appliances,1
prod37,SQPkqCKauwuWjsb,furniture,13
prod38,NOkiQgEtRoHIwOG,appliances,14
prod39,MbruBpoqzRpDaqS,furniture,2
prod40,AtDuwKSFRCDGQTr,appliances,14
prod41,LfhrqmERQRefMyO,electronics,13
prod42,orfZArDLSiikwgu,electronics,8
prod43,MfeOyJhxNRwTOZa,furniture,14
prod44,ektOBCsQTdIeHda,electronics,12
prod45,oOEZXhqbsrmGjxJ,electronics,9
prod46,MhxgKvroATwLXOS,furniture,15
prod47,EgyzoesKRBgHGch,electronics,10
prod48,vNkulfRRoXqbbUP,furniture,7
prod49,BjVoERmRqBdvTrZ,appliances,6
prod50,gXxTcwENOEVsIpo,electronics,4
prod51,qlGVDODMhYNWVkK,electronics,4
prod52,TFdmbHJEuHGHVuZ,electronics,8
prod53,UlFUUJPWlGPxjUn,furniture,15
prod54,mDzmXdSPGNKXRlN,appliances,4
prod55,BfmxwcDhkixOaNO,electronics,7
prod56,JSgtCVpzIseWHLH,electronics,2
prod57,xUcDCkuGzvUfnqZ,furniture,10
prod58,qQfETYYnjyPbxsE,furniture,7
prod59,URPDEWDuRytXnKB,electronics,13
prod60,NkImeCQBjfYHfBI,furniture,4
prod61,DwVZUorKgODeKgf,appliances,10
prod62,pCmfMNRvkiNNMTj,appliances,7
prod63,CTAGePtgZEbtooU,electronics,3
prod64,xaymOCHtpNWIWxz,electronics,3
prod65,qFLHxdACYZSzdKy,electronics,4
prod66,PxcqMlCiXYOyGeo,appliances,15
prod67,FnsttJrMsknKohl,furniture,3
prod68,CWLAxGmTxVajgtw,furniture,6
prod69,msXGPZGXMWVQVWm,furniture,4
prod70,fJolNFkcpuwfCQu,appliances,6
prod71,mxDGOfSDpldvlES,electronics,3
prod72,ijfGRSfyuOGucyZ,appliances,2
prod73,AzxyFJuknbEwzdp,appliances,11
prod74,uNDHXLOiwSnwmBr,appliances,2
prod75,UfJiSMhgqnJjbqE,appliances,9
prod76,FsEiYvIJZHFVKGe,appliances,13
prod77,gnEsrFvnbXsYlMR,appliances,4
prod78,PXVAkmjztATlakl,electronics,10
prod79,KiOLnVUqGdhftME,electronics,7
prod80,JWKGqTeOsClpjWH,appliances,15
prod81,BhnDktpDzLKtahY,appliances,12
prod82,uDeVZUDIAuUwLyT,furniture,6
prod83,HEvirouNIJEBoJn,furniture,8
prod84,jDWZCFloBsshZzE,appliances,2
prod85,rGcPlixtoCWjOQq,furniture,5
prod86,MbiMoaOVtXlbRDg,furniture,2
prod87,ucwSBlqwVZWYQNB,electronics,3
prod88,CAfHhWMyJbuimVu,appliances,1
