product_id,description,product_type,quantity_available
prd1,description1,type3,0
prd2,description2,type3,19
prd3,description3,type1,4
prd4,description4,type4,5
prd5,description5,type2,10
prd6,description6,type3,10
prd7,description7,type3,12
prd8,description8,type1,8
prd9,description9,type1,20
prd10,description10,type2,20
prd11,description11,type4,7
prd12,description12,type2,13
prd13,description13,type4,1
prd14,description14,type4,2
prd15,description15,type3,18
prd16,description16,type2,4
prd17,description17,type1,14
prd18,description18,type4,18
prd19,description19,type3,0
prd20,description20,type1,19
prd21,description21,type3,15
prd22,description22,type4,3
prd23,description23,type2,11
prd24,description24,type2,0
prd25,description25,type4,11
prd26,description26,type4,1
prd27,description27,type1,0
prd28,description28,type4,0
prd29,description29,type2,7
prd30,description30,type1,18
prd31,description31,type4,8
prd32,description32,type1,15
prd33,description33,type3,7
prd34,description34,type4,15
prd35,description35,type2,6
prd36,description36,type3,7
prd37,description37,type4,19
prd38,description38,type2,7
prd39,description39,type2,17
prd40,description40,type4,14
prd41,description41,type4,12
prd42,description42,type4,20
prd43,description43,type2,13
prd44,description44,type2,4
prd45,description45,type3,6
prd46,description46,type1,4
prd47,description47,type3,6
prd48,description48,type2,20
prd49,description49,type2,11
prd50,description50,type3,16
prd51,description51,type2,3
prd52,description52,type3,2
prd53,description53,type3,12
prd54,description54,type1,6
prd55,description55,type3,12
prd56,description56,type3,1
prd57,description57,type1,19
prd58,description58,type1,4
prd59,description59,type2,11
prd60,description60,type1,8
prd61,description61,type2,8
prd62,description62,type3,17
prd63,description63,type4,4
prd64,description64,type2,16
prd65,description65,type3,20
prd66,description66,type2,15
prd67,description67,type4,4
prd68,description68,type4,2
prd69,description69,type3,13
prd70,description70,type2,18
prd71,description71,type3,10
prd72,description72,type1,4
prd73,description73,type4,5
prd74,description74,type3,0
prd75,description75,type4,7
prd76,description76,type4,3
prd77,description77,type2,14
prd78,description78,type4,20
prd79,description79,type3,8
prd80,description80,type3,15
prd81,description81,type3,16
prd82,description82,type2,5
prd83,description83,type3,18
prd84,description84,type3,10
prd85,description85,type3,17
prd86,description86,type3,8
prd87,description87,type1,15
prd88,description88,type3,15
prd89,description89,type2,11
prd90,description90,type3,10
prd91,description91,type3,13
prd92,description92,type4,12
prd93,description93,type2,1
prd94,description94,type1,0
prd95,description95,type4,9
prd96,description96,type3,5
prd97,description97,type4,14
prd98,description98,type2,18
prd99,description99,type2,6
prd100,description100,type4,7
prd101,description101,type4,19
prd102,description102,type3,16
prd103,description103,type3,2
prd104,description104,type2,12
prd105,description105,type2,3
prd106,description106,type4,5
prd107,description107,type3,12
prd108,description108,type3,1
prd109,description109,type2,6
prd110,description110,type1,5
prd111,description111,type3,4
prd112,description112,type4,13
prd113,description113,type1,4
prd114,description114,type2,8
prd115,description115,type2,8
prd116,description116,type1,7
prd117,description117,type3,4
prd118,description118,type3,5
prd119,description119,type4,3
prd120,description120,type2,2
prd121,description121,type2,8
prd122,description122,type1,1
prd123,description123,type4,16
