product_id,description,product_type,quantity_available
prd6,dishwasher,kithen,9
prd7,microwave oven,kitchen,0
prd8,dishwasher,kithen,7
prd9,L-shaped sofa,livingroom,9
prd10,dishwasher,kithen,3
prd11,microwave oven,kitchen,9
prd12,dishwasher,kithen,3
prd13,queen size bed,bedroom,8
prd14,L-shaped sofa,livingroom,8
prd15,queen size bed,bedroom,5
prd16,dishwasher,kithen,4
prd17,dishwasher,kithen,7
prd18,L-shaped sofa,livingroom,2
prd19,L-shaped sofa,livingroom,2
prd20,60-inch TV stand,livingroom,0
prd21,L-shaped sofa,livingroom,4
prd22,queen size bed,bedroom,5
prd23,microwave oven,kitchen,9
prd24,microwave oven,kitchen,9
prd25,microwave oven,kitchen,5
prd26,queen size bed,bedroom,9
prd27,dishwasher,kithen,8
prd28,60-inch TV stand,livingroom,3
prd29,L-shaped sofa,livingroom,4
prd30,dishwasher,kithen,4
prd31,60-inch TV stand,livingroom,8
prd32,60-inch TV stand,livingroom,8
prd33,microwave oven,kitchen,3
prd34,microwave oven,kitchen,8
prd35,dishwasher,kithen,1
prd36,microwave oven,kitchen,5
prd37,60-inch TV stand,livingroom,0
prd38,queen size bed,bedroom,0
prd39,queen size bed,bedroom,2
prd40,L-shaped sofa,livingroom,7
prd41,microwave oven,kitchen,9
prd42,microwave oven,kitchen,8
prd43,dishwasher,kithen,9
prd44,dishwasher,kithen,8
prd45,dishwasher,kithen,2
prd46,dishwasher,kithen,7
prd47,queen size bed,bedroom,1
prd48,microwave oven,kitchen,9
prd49,microwave oven,kitchen,9
prd50,queen size bed,bedroom,1
prd51,queen size bed,bedroom,4
prd52,60-inch TV stand,livingroom,8
prd53,microwave oven,kitchen,4
prd54,60-inch TV stand,livingroom,3
prd55,microwave oven,kitchen,0
prd56,queen size bed,bedroom,1
prd57,dishwasher,kithen,0
prd58,60-inch TV stand,livingroom,5
prd59,L-shaped sofa,livingroom,1
prd60,queen size bed,bedroom,3
prd61,60-inch TV stand,livingroom,3
prd62,microwave oven,kitchen,6
prd63,microwave oven,kitchen,1
prd64,60-inch TV stand,livingroom,3
prd65,60-inch TV stand,livingroom,6
prd66,microwave oven,kitchen,7
prd67,dishwasher,kithen,1
prd68,60-inch TV stand,livingroom,2
prd69,dishwasher,kithen,6
prd70,queen size bed,bedroom,5
prd71,dishwasher,kithen,9
prd72,dishwasher,kithen,5
prd73,60-inch TV stand,livingroom,0
prd74,microwave oven,kitchen,3
prd75,queen size bed,bedroom,7
prd76,queen size bed,bedroom,1
prd77,L-shaped sofa,livingroom,3
prd78,60-inch TV stand,livingroom,6
prd79,dishwasher,kithen,5
prd80,60-inch TV stand,livingroom,9
prd81,queen size bed,bedroom,7
prd82,L-shaped sofa,livingroom,6
prd83,microwave oven,kitchen,8
prd84,dishwasher,kithen,7
prd85,microwave oven,kitchen,9
prd86,L-shaped sofa,livingroom,3
prd87,dishwasher,kithen,2
prd88,microwave oven,kitchen,5
prd89,L-shaped sofa,livingroom,9
prd90,L-shaped sofa,livingroom,0
prd91,queen size bed,bedroom,2
prd92,dishwasher,kithen,4
prd93,microwave oven,kitchen,2
prd94,60-inch TV stand,livingroom,2
prd95,microwave oven,kitchen,5
prd96,dishwasher,kithen,6
prd97,dishwasher,kithen,2
prd98,dishwasher,kithen,2
prd99,dishwasher,kithen,5
prd100,60-inch TV stand,livingroom,1
prd101,60-inch TV stand,livingroom,6
prd102,microwave oven,kitchen,3
prd103,L-shaped sofa,livingroom,2
prd104,60-inch TV stand,livingroom,8
prd105,queen size bed,bedroom,3
prd106,L-shaped sofa,livingroom,0
prd107,L-shaped sofa,livingroom,9
prd108,queen size bed,bedroom,6
prd109,60-inch TV stand,livingroom,0
prd110,microwave oven,kitchen,4
prd111,microwave oven,kitchen,9
prd112,queen size bed,bedroom,2
prd113,queen size bed,bedroom,1
prd114,microwave oven,kitchen,5
prd115,60-inch TV stand,livingroom,8
prd116,L-shaped sofa,livingroom,5
prd117,60-inch TV stand,livingroom,8
prd118,microwave oven,kitchen,8
prd119,microwave oven,kitchen,7
prd120,microwave oven,kitchen,7
prd121,60-inch TV stand,livingroom,4
prd122,L-shaped sofa,livingroom,4
prd123,queen size bed,bedroom,2
prd124,dishwasher,kithen,8
prd125,queen size bed,bedroom,0
prd126,dishwasher,kithen,3
prd127,queen size bed,bedroom,5
prd128,dishwasher,kithen,5
prd129,queen size bed,bedroom,2
prd130,dishwasher,kithen,2
prd131,dishwasher,kithen,4
prd132,dishwasher,kithen,8
prd133,queen size bed,bedroom,3
prd134,L-shaped sofa,livingroom,0
prd135,queen size bed,bedroom,3
prd136,L-shaped sofa,livingroom,6
prd137,60-inch TV stand,livingroom,0
prd138,microwave oven,kitchen,2
prd139,L-shaped sofa,livingroom,4
prd140,microwave oven,kitchen,5
prd141,microwave oven,kitchen,5
prd142,microwave oven,kitchen,3
prd143,dishwasher,kithen,5
prd144,queen size bed,bedroom,5
prd145,dishwasher,kithen,4
prd146,queen size bed,bedroom,1
prd147,dishwasher,kithen,8
prd148,60-inch TV stand,livingroom,7
prd149,L-shaped sofa,livingroom,3
prd150,L-shaped sofa,livingroom,1
prd151,microwave oven,kitchen,8
prd152,queen size bed,bedroom,8
prd153,60-inch TV stand,livingroom,8
prd154,queen size bed,bedroom,9
prd155,queen size bed,bedroom,7
prd156,L-shaped sofa,livingroom,2
prd157,60-inch TV stand,livingroom,4
prd158,microwave oven,kitchen,5
