product_id,description,product_type,quantity_available
prd6,microwave oven,kitchen,6
prd7,queen size bed,bedroom,4
prd8,microwave oven,kitchen,3
prd9,microwave oven,kitchen,1
prd10,L-shaped sofa,livingroom,3
prd11,60-inch TV stand,livingroom,5
prd12,queen size bed,bedroom,4
prd13,dishwasher,kithen,3
prd14,queen size bed,bedroom,0
prd15,microwave oven,kitchen,9
prd16,queen size bed,bedroom,2
prd17,microwave oven,kitchen,9
prd18,60-inch TV stand,livingroom,2
prd19,dishwasher,kithen,0
prd20,60-inch TV stand,livingroom,3
prd21,60-inch TV stand,livingroom,1
prd22,60-inch TV stand,livingroom,9
prd23,queen size bed,bedroom,6
prd24,L-shaped sofa,livingroom,8
prd25,microwave oven,kitchen,9
prd26,dishwasher,kithen,8
prd27,queen size bed,bedroom,4
prd28,queen size bed,bedroom,2
prd29,microwave oven,kitchen,1
prd30,L-shaped sofa,livingroom,7
prd31,microwave oven,kitchen,0
prd32,dishwasher,kithen,6
prd33,queen size bed,bedroom,9
prd34,dishwasher,kithen,7
prd35,dishwasher,kithen,6
prd36,queen size bed,bedroom,0
prd37,microwave oven,kitchen,2
prd38,dishwasher,kithen,1
prd39,microwave oven,kitchen,7
prd40,queen size bed,bedroom,8
prd41,queen size bed,bedroom,0
prd42,microwave oven,kitchen,5
prd43,60-inch TV stand,livingroom,5
prd44,queen size bed,bedroom,3
prd45,microwave oven,kitchen,3
prd46,microwave oven,kitchen,8
prd47,dishwasher,kithen,3
prd48,dishwasher,kithen,7
prd49,60-inch TV stand,livingroom,2
prd50,microwave oven,kitchen,2
prd51,queen size bed,bedroom,9
prd52,60-inch TV stand,livingroom,5
prd53,60-inch TV stand,livingroom,7
prd54,dishwasher,kithen,9
prd55,microwave oven,kitchen,7
prd56,microwave oven,kitchen,0
prd57,queen size bed,bedroom,0
prd58,dishwasher,kithen,0
prd59,dishwasher,kithen,1
prd60,dishwasher,kithen,9
prd61,dishwasher,kithen,6
prd62,L-shaped sofa,livingroom,4
prd63,queen size bed,bedroom,4
prd64,queen size bed,bedroom,5
prd65,L-shaped sofa,livingroom,5
prd66,60-inch TV stand,livingroom,2
prd67,queen size bed,bedroom,5
prd68,dishwasher,kithen,3
prd69,60-inch TV stand,livingroom,2
prd70,microwave oven,kitchen,4
prd71,60-inch TV stand,livingroom,7
prd72,queen size bed,bedroom,3
prd73,dishwasher,kithen,7
prd74,queen size bed,bedroom,4
prd75,queen size bed,bedroom,8
prd76,dishwasher,kithen,9
prd77,dishwasher,kithen,5
prd78,L-shaped sofa,livingroom,8
prd79,60-inch TV stand,livingroom,1
prd80,60-inch TV stand,livingroom,0
prd81,microwave oven,kitchen,2
prd82,60-inch TV stand,livingroom,0
prd83,dishwasher,kithen,1
prd84,60-inch TV stand,livingroom,7
prd85,L-shaped sofa,livingroom,0
prd86,queen size bed,bedroom,4
prd87,dishwasher,kithen,1
prd88,L-shaped sofa,livingroom,7
prd89,60-inch TV stand,livingroom,5
prd90,60-inch TV stand,livingroom,6
prd91,microwave oven,kitchen,9
prd92,dishwasher,kithen,5
prd93,L-shaped sofa,livingroom,9
prd94,60-inch TV stand,livingroom,9
prd95,microwave oven,kitchen,0
prd96,60-inch TV stand,livingroom,0
prd97,microwave oven,kitchen,2
prd98,queen size bed,bedroom,4
prd99,queen size bed,bedroom,3
prd100,queen size bed,bedroom,7
prd101,L-shaped sofa,livingroom,7
prd102,60-inch TV stand,livingroom,6
prd103,dishwasher,kithen,6
prd104,queen size bed,bedroom,0
prd105,dishwasher,kithen,9
prd106,60-inch TV stand,livingroom,7
prd107,microwave oven,kitchen,4
prd108,L-shaped sofa,livingroom,7
prd109,dishwasher,kithen,9
prd110,dishwasher,kithen,3
prd111,queen size bed,bedroom,0
prd112,microwave oven,kitchen,9
prd113,microwave oven,kitchen,6
prd114,60-inch TV stand,livingroom,0
prd115,60-inch TV stand,livingroom,4
prd116,dishwasher,kithen,3
prd117,dishwasher,kithen,5
prd118,dishwasher,kithen,9
prd119,queen size bed,bedroom,8
prd120,microwave oven,kitchen,7
prd121,L-shaped sofa,livingroom,6
prd122,dishwasher,kithen,1
prd123,microwave oven,kitchen,2
prd124,dishwasher,kithen,0
prd125,dishwasher,kithen,0
prd126,dishwasher,kithen,9
prd127,L-shaped sofa,livingroom,6
prd128,microwave oven,kitchen,0
prd129,60-inch TV stand,livingroom,7
prd130,queen size bed,bedroom,5
prd131,60-inch TV stand,livingroom,6
prd132,60-inch TV stand,livingroom,3
prd133,microwave oven,kitchen,2
prd134,queen size bed,bedroom,7
prd135,60-inch TV stand,livingroom,8
prd136,60-inch TV stand,livingroom,4
prd137,L-shaped sofa,livingroom,4
prd138,microwave oven,kitchen,8
prd139,queen size bed,bedroom,5
prd140,dishwasher,kithen,9
prd141,L-shaped sofa,livingroom,4
prd142,60-inch TV stand,livingroom,6
prd143,60-inch TV stand,livingroom,4
prd144,microwave oven,kitchen,2
prd145,dishwasher,kithen,8
prd146,microwave oven,kitchen,2
prd147,60-inch TV stand,livingroom,9
prd148,L-shaped sofa,livingroom,5
prd149,dishwasher,kithen,7
prd150,60-inch TV stand,livingroom,0
prd151,60-inch TV stand,livingroom,5
prd152,queen size bed,bedroom,1
prd153,microwave oven,kitchen,4
prd154,dishwasher,kithen,0
prd155,L-shaped sofa,livingroom,8
prd156,microwave oven,kitchen,0
prd157,dishwasher,kithen,7
prd158,L-shaped sofa,livingroom,8
prd159,L-shaped sofa,livingroom,4
prd160,dishwasher,kithen,9
prd161,L-shaped sofa,livingroom,9
prd162,60-inch TV stand,livingroom,7
prd163,dishwasher,kithen,1
prd164,L-shaped sofa,livingroom,7
prd165,queen size bed,bedroom,6
prd166,60-inch TV stand,livingroom,8
prd167,60-inch TV stand,livingroom,5
prd168,microwave oven,kitchen,7
prd169,L-shaped sofa,livingroom,3
prd170,dishwasher,kithen,0
prd171,dishwasher,kithen,7
prd172,queen size bed,bedroom,4
prd173,microwave oven,kitchen,3
prd174,dishwasher,kithen,2
prd175,dishwasher,kithen,8
prd176,microwave oven,kitchen,4
prd177,queen size bed,bedroom,9
prd178,L-shaped sofa,livingroom,7
prd179,microwave oven,kitchen,4
prd180,microwave oven,kitchen,8
prd181,dishwasher,kithen,9
prd182,dishwasher,kithen,6
prd183,dishwasher,kithen,8
prd184,L-shaped sofa,livingroom,5
prd185,L-shaped sofa,livingroom,9
prd186,queen size bed,bedroom,2
prd187,60-inch TV stand,livingroom,6
prd188,60-inch TV stand,livingroom,0
prd189,queen size bed,bedroom,3
prd190,microwave oven,kitchen,2
prd191,dishwasher,kithen,8
prd192,microwave oven,kitchen,9
prd193,microwave oven,kitchen,2
prd194,L-shaped sofa,livingroom,9
prd195,60-inch TV stand,livingroom,1
prd196,queen size bed,bedroom,1
prd197,L-shaped sofa,livingroom,4
prd198,L-shaped sofa,livingroom,9
prd199,dishwasher,kithen,3
prd200,queen size bed,bedroom,1
prd201,queen size bed,bedroom,1
prd202,dishwasher,kithen,3
prd203,L-shaped sofa,livingroom,6
prd204,microwave oven,kitchen,8
prd205,dishwasher,kithen,4
prd206,queen size bed,bedroom,2
prd207,L-shaped sofa,livingroom,0
prd208,L-shaped sofa,livingroom,7
prd209,dishwasher,kithen,5
prd210,microwave oven,kitchen,1
prd211,queen size bed,bedroom,5
prd212,60-inch TV stand,livingroom,3
prd213,60-inch TV stand,livingroom,1
prd214,60-inch TV stand,livingroom,7
prd215,60-inch TV stand,livingroom,5
prd216,60-inch TV stand,livingroom,5
prd217,dishwasher,kithen,8
prd218,60-inch TV stand,livingroom,8
prd219,microwave oven,kitchen,1
prd220,L-shaped sofa,livingroom,2
prd221,microwave oven,kitchen,7
prd222,L-shaped sofa,livingroom,7
prd223,L-shaped sofa,livingroom,3
prd224,60-inch TV stand,livingroom,0
prd225,60-inch TV stand,livingroom,7
prd226,L-shaped sofa,livingroom,3
prd227,60-inch TV stand,livingroom,0
prd228,dishwasher,kithen,6
prd229,dishwasher,kithen,1
prd230,dishwasher,kithen,9
prd231,queen size bed,bedroom,3
prd232,queen size bed,bedroom,7
prd233,L-shaped sofa,livingroom,3
prd234,dishwasher,kithen,7
prd235,60-inch TV stand,livingroom,7
prd236,microwave oven,kitchen,9
prd237,dishwasher,kithen,3
prd238,L-shaped sofa,livingroom,8
prd239,dishwasher,kithen,1
prd240,60-inch TV stand,livingroom,0
prd241,60-inch TV stand,livingroom,8
prd242,microwave oven,kitchen,8
prd243,microwave oven,kitchen,5
prd244,queen size bed,bedroom,4
prd245,microwave oven,kitchen,1
prd246,L-shaped sofa,livingroom,2
prd247,dishwasher,kithen,9
prd248,L-shaped sofa,livingroom,4
prd249,dishwasher,kithen,2
prd250,L-shaped sofa,livingroom,5
prd251,60-inch TV stand,livingroom,6
prd252,L-shaped sofa,livingroom,2
prd253,L-shaped sofa,livingroom,5
prd254,microwave oven,kitchen,4
prd255,queen size bed,bedroom,0
prd256,queen size bed,bedroom,2
prd257,queen size bed,bedroom,7
prd258,L-shaped sofa,livingroom,4
prd259,60-inch TV stand,livingroom,8
prd260,dishwasher,kithen,8
