product_id,user_id
prd6,user585
prd7,user743
prd8,user230
prd9,user321
prd10,user230
prd11,user909
prd12,user497
prd13,user891
prd14,user375
prd15,user164
prd16,user924
prd17,user537
prd18,user62
prd19,user652
prd20,user323
prd21,user442
prd22,user197
prd23,user493
prd24,user322
prd25,user460
prd26,user116
prd27,user234
prd28,user517
prd29,user89
prd30,user249
prd31,user675
prd32,user752
prd33,user332
prd34,user748
prd35,user111
prd36,user492
prd37,user637
prd38,user221
prd39,user214
prd40,user688
prd41,user583
prd42,user881
prd43,user693
prd44,user890
prd45,user558
prd46,user528
prd47,user14
prd48,user786
prd49,user514
prd50,user889
prd51,user721
prd52,user410
prd53,user804
prd54,user519
prd55,user560
prd56,user888
prd57,user47
prd58,user777
prd59,user267
prd60,user710
prd61,user573
prd62,user318
prd63,user97
prd64,user458
prd65,user395
prd66,user789
prd67,user379
prd68,user311
prd69,user361
prd70,user526
prd71,user251
prd72,user448
prd73,user861
prd74,user260
prd75,user767
prd76,user564
prd77,user421
prd78,user185
prd79,user730
prd80,user653
prd81,user311
prd82,user851
prd83,user457
prd84,user15
prd85,user499
prd86,user276
prd87,user610
prd88,user482
prd89,user243
prd90,user850
prd91,user562
prd92,user709
prd93,user376
prd94,user468
prd95,user470
prd96,user196
prd97,user684
prd98,user163
prd99,user94
prd100,user497
prd101,user463
prd102,user11
prd103,user964
prd104,user805
prd105,user909
