product_id,user_id
prd6,user48
prd7,user499
prd8,user594
prd9,user763
prd10,user886
prd11,user82
prd12,user842
prd13,user917
prd14,user80
prd15,user313
prd16,user562
prd17,user413
prd18,user596
prd19,user529
prd20,user402
prd21,user21
prd22,user918
prd23,user745
prd24,user752
prd25,user743
prd26,user441
prd27,user555
prd28,user51
prd29,user384
prd30,user388
prd31,user725
prd32,user173
prd33,user111
prd34,user593
prd35,user836
prd36,user139
prd37,user456
prd38,user156
prd39,user900
prd40,user383
prd41,user633
prd42,user104
prd43,user602
prd44,user367
prd45,user913
prd46,user658
prd47,user16
prd48,user542
prd49,user964
prd50,user998
prd51,user152
prd52,user387
prd53,user784
prd54,user328
prd55,user576
prd56,user230
prd57,user895
prd58,user500
prd59,user831
prd60,user396
prd61,user307
prd62,user510
prd63,user681
prd64,user215
prd65,user831
prd66,user734
prd67,user694
prd68,user762
prd69,user808
prd70,user412
prd71,user890
prd72,user489
prd73,user191
prd74,user638
prd75,user21
prd76,user411
prd77,user80
prd78,user454
prd79,user638
prd80,user146
prd81,user608
prd82,user385
prd83,user172
prd84,user567
prd85,user461
prd86,user383
prd87,user239
prd88,user11
prd89,user321
prd90,user728
prd91,user282
prd92,user629
prd93,user810
prd94,user23
prd95,user263
prd96,user106
prd97,user505
prd98,user256
prd99,user801
prd100,user596
prd101,user815
prd102,user9
prd103,user570
prd104,user929
prd105,user806
prd106,user286
prd107,user390
prd108,user308
prd109,user669
prd110,user430
prd111,user859
prd112,user611
prd113,user810
prd114,user585
prd115,user884
prd116,user937
prd117,user227
prd118,user142
prd119,user970
prd120,user395
prd121,user434
prd122,user867
prd123,user154
prd124,user394
prd125,user348
prd126,user463
prd127,user193
prd128,user456
prd129,user568
prd130,user881
prd131,user374
prd132,user70
prd133,user219
prd134,user95
prd135,user690
prd136,user54
prd137,user455
prd138,user922
prd139,user873
prd140,user955
prd141,user883
prd142,user439
prd143,user162
prd144,user336
prd145,user399
prd146,user665
prd147,user633
prd148,user94
prd149,user156
prd150,user452
prd151,user597
prd152,user387
prd153,user871
prd154,user184
prd155,user369
prd156,user967
prd157,user513
prd158,user104
prd159,user606
prd160,user896
prd161,user653
prd162,user527
prd163,user430
prd164,user664
prd165,user330
prd166,user384
prd167,user327
prd168,user98
prd169,user549
prd170,user576
prd171,user416
prd172,user739
prd173,user316
prd174,user58
prd175,user432
prd176,user925
prd177,user590
prd178,user184
prd179,user757
prd180,user838
prd181,user185
prd182,user734
prd183,user794
prd184,user554
prd185,user112
prd186,user342
prd187,user807
prd188,user264
prd189,user826
prd190,user137
prd191,user687
prd192,user899
prd193,user250
prd194,user549
prd195,user315
prd196,user31
prd197,user131
prd198,user434
prd199,user594
prd200,user969
prd201,user920
prd202,user599
prd203,user133
prd204,user176
prd205,user159
prd206,user452
prd207,user723
prd208,user486
prd209,user528
prd210,user324
prd211,user36
prd212,user618
prd213,user329
prd214,user61
prd215,user844
prd216,user212
prd217,user843
prd218,user452
prd219,user362
prd220,user117
prd221,user746
prd222,user574
prd223,user282
prd224,user74
prd225,user583
prd226,user79
prd227,user82
prd228,user246
prd229,user743
prd230,user563
prd231,user231
prd232,user439
prd233,user413
prd234,user318
prd235,user309
prd236,user799
prd237,user945
prd238,user584
prd239,user500
prd240,user264
prd241,user123
prd242,user54
prd243,user401
prd244,user73
prd245,user150
prd246,user932
prd247,user701
prd248,user156
prd249,user241
prd250,user889
prd251,user430
prd252,user387
prd253,user71
prd254,user299
prd255,user494
prd256,user573
prd257,user831
prd258,user827
prd259,user372
prd260,user277
prd261,user19
prd262,user191
prd263,user333
prd264,user110
