product_id,user_id
prd6,user426
prd7,user979
prd8,user363
prd9,user270
prd10,user775
prd11,user73
prd12,user354
prd13,user385
prd14,user899
prd15,user538
prd16,user382
prd17,user87
prd18,user834
prd19,user857
prd20,user921
prd21,user352
prd22,user521
prd23,user500
prd24,user527
prd25,user982
prd26,user814
prd27,user624
prd28,user408
prd29,user912
prd30,user830
prd31,user952
prd32,user322
prd33,user990
prd34,user146
prd35,user372
prd36,user579
prd37,user51
prd38,user801
prd39,user979
prd40,user75
prd41,user233
prd42,user898
prd43,user987
prd44,user547
prd45,user539
prd46,user264
prd47,user796
prd48,user436
prd49,user399
prd50,user457
prd51,user948
prd52,user434
prd53,user818
prd54,user38
prd55,user106
prd56,user915
prd57,user480
prd58,user465
prd59,user486
prd60,user470
prd61,user79
prd62,user280
prd63,user316
prd64,user935
prd65,user795
prd66,user468
prd67,user251
prd68,user389
prd69,user371
prd70,user773
prd71,user394
prd72,user948
prd73,user778
prd74,user60
prd75,user764
prd76,user697
prd77,user716
prd78,user408
prd79,user883
prd80,user298
prd81,user812
prd82,user78
prd83,user838
prd84,user396
prd85,user885
prd86,user75
prd87,user55
prd88,user717
prd89,user93
prd90,user673
prd91,user884
prd92,user299
prd93,user997
prd94,user132
prd95,user46
prd96,user247
prd97,user707
prd98,user992
prd99,user17
prd100,user457
prd101,user568
prd102,user954
prd103,user832
prd104,user854
prd105,user378
prd106,user129
prd107,user875
prd108,user63
prd109,user520
prd110,user883
prd111,user677
prd112,user526
prd113,user129
prd114,user964
prd115,user889
prd116,user239
prd117,user94
prd118,user777
prd119,user169
prd120,user479
prd121,user901
prd122,user291
prd123,user246
prd124,user839
prd125,user51
prd126,user89
prd127,user234
prd128,user511
prd129,user559
prd130,user839
prd131,user409
prd132,user900
prd133,user209
prd134,user895
prd135,user91
prd136,user539
prd137,user143
prd138,user376
prd139,user331
prd140,user394
prd141,user262
prd142,user863
prd143,user182
prd144,user91
prd145,user620
prd146,user415
prd147,user235
prd148,user367
prd149,user466
prd150,user765
prd151,user438
prd152,user276
prd153,user97
prd154,user912
prd155,user96
prd156,user509
prd157,user329
prd158,user518
prd159,user203
prd160,user461
prd161,user751
prd162,user681
prd163,user383
prd164,user662
prd165,user41
prd166,user990
prd167,user633
prd168,user797
prd169,user872
prd170,user625
prd171,user940
prd172,user831
prd173,user381
prd174,user279
prd175,user400
prd176,user322
prd177,user234
prd178,user320
prd179,user700
prd180,user412
prd181,user872
prd182,user584
prd183,user390
prd184,user660
prd185,user821
prd186,user993
prd187,user313
prd188,user486
prd189,user68
prd190,user242
prd191,user777
prd192,user780
prd193,user207
prd194,user315
prd195,user809
prd196,user634
prd197,user441
prd198,user954
prd199,user345
prd200,user960
prd201,user198
prd202,user37
prd203,user388
prd204,user43
prd205,user530
prd206,user362
prd207,user902
prd208,user570
prd209,user657
prd210,user259
prd211,user89
prd212,user389
prd213,user943
prd214,user463
prd215,user483
prd216,user514
prd217,user312
prd218,user228
prd219,user833
prd220,user948
prd221,user307
prd222,user221
prd223,user689
prd224,user516
prd225,user704
prd226,user995
prd227,user747
prd228,user401
prd229,user694
prd230,user134
prd231,user43
prd232,user864
prd233,user777
prd234,user611
prd235,user228
prd236,user826
prd237,user497
prd238,user844
prd239,user727
prd240,user885
prd241,user31
prd242,user380
prd243,user316
prd244,user399
prd245,user573
prd246,user181
prd247,user929
prd248,user777
prd249,user441
prd250,user825
prd251,user128
prd252,user753
prd253,user607
prd254,user692
prd255,user238
prd256,user56
prd257,user419
prd258,user24
prd259,user249
prd260,user381
prd261,user733
prd262,user57
prd263,user596
prd264,user822
prd265,user749
prd266,user99
prd267,user809
prd268,user662
prd269,user388
prd270,user605
prd271,user982
prd272,user740
prd273,user940
prd274,user867
prd275,user862
prd276,user99
prd277,user354
prd278,user887
prd279,user477
prd280,user792
prd281,user570
prd282,user687
prd283,user903
prd284,user140
prd285,user457
prd286,user741
prd287,user319
prd288,user181
prd289,user811
prd290,user431
prd291,user993
prd292,user548
prd293,user625
prd294,user969
prd295,user152
prd296,user800
prd297,user107
prd298,user661
prd299,user706
prd300,user961
prd301,user548
prd302,user317
prd303,user429
prd304,user716
prd305,user581
prd306,user931
prd307,user714
prd308,user564
prd309,user392
prd310,user35
prd311,user682
prd312,user234
prd313,user203
prd314,user330
prd315,user814
prd316,user380
prd317,user148
prd318,user756
prd319,user493
prd320,user572
prd321,user903
prd322,user213
prd323,user59
prd324,user866
prd325,user529
prd326,user761
prd327,user528
prd328,user703
prd329,user365
prd330,user885
prd331,user178
prd332,user149
prd333,user653
prd334,user418
prd335,user692
prd336,user648
prd337,user846
prd338,user295
prd339,user488
prd340,user183
prd341,user122
prd342,user224
prd343,user282
prd344,user289
prd345,user300
prd346,user821
prd347,user213
prd348,user400
prd349,user258
prd350,user479
prd351,user644
prd352,user620
prd353,user447
prd354,user332
prd355,user328
prd356,user278
prd357,user607
prd358,user316
prd359,user642
prd360,user929
prd361,user732
prd362,user665
prd363,user416
prd364,user88
prd365,user44
prd366,user443
prd367,user886
prd368,user287
prd369,user86
prd370,user931
prd371,user841
prd372,user433
prd373,user88
prd374,user606
prd375,user66
prd376,user862
prd377,user636
prd378,user691
prd379,user389
prd380,user21
prd381,user551
prd382,user663
prd383,user28
prd384,user527
prd385,user546
prd386,user12
prd387,user644
prd388,user880
prd389,user990
prd390,user552
prd391,user830
prd392,user545
prd393,user99
prd394,user756
prd395,user294
prd396,user511
prd397,user732
prd398,user362
prd399,user759
prd400,user829
prd401,user574
prd402,user881
prd403,user976
prd404,user28
prd405,user673
prd406,user606
prd407,user612
prd408,user244
prd409,user504
prd410,user581
prd411,user932
prd412,user297
prd413,user979
prd414,user89
prd415,user786
prd416,user919
prd417,user34
prd418,user326
prd419,user274
prd420,user453
prd421,user230
prd422,user244
prd423,user135
prd424,user882
prd425,user610
prd426,user319
prd427,user242
prd428,user324
prd429,user99
prd430,user698
prd431,user547
prd432,user685
prd433,user230
prd434,user175
prd435,user561
prd436,user839
prd437,user861
prd438,user573
prd439,user899
prd440,user736
prd441,user577
prd442,user126
prd443,user48
prd444,user74
prd445,user979
prd446,user21
prd447,user73
prd448,user758
prd449,user184
prd450,user939
prd451,user685
prd452,user844
prd453,user136
prd454,user74
prd455,user558
prd456,user558
prd457,user401
prd458,user874
prd459,user604
prd460,user67
prd461,user227
prd462,user975
prd463,user947
prd464,user773
prd465,user729
prd466,user913
prd467,user772
prd468,user457
prd469,user90
prd470,user627
prd471,user731
prd472,user314
prd473,user138
prd474,user332
prd475,user753
prd476,user987
prd477,user314
prd478,user891
prd479,user349
prd480,user411
prd481,user896
prd482,user462
prd483,user668
prd484,user478
prd485,user890
prd486,user414
prd487,user968
prd488,user203
prd489,user756
prd490,user475
prd491,user198
prd492,user792
prd493,user456
prd494,user111
prd495,user233
prd496,user200
prd497,user277
prd498,user162
prd499,user419
prd500,user75
prd501,user347
prd502,user60
prd503,user629
prd504,user830
prd505,user884
prd506,user785
prd507,user148
prd508,user506
prd509,user312
prd510,user294
prd511,user447
prd512,user699
prd513,user439
prd514,user899
prd515,user157
prd516,user895
prd517,user284
prd518,user959
prd519,user479
prd520,user953
prd521,user929
prd522,user244
prd523,user827
prd524,user34
prd525,user814
prd526,user509
prd527,user163
prd528,user849
prd529,user430
prd530,user735
prd531,user518
prd532,user991
prd533,user962
prd534,user836
prd535,user491
prd536,user465
prd537,user645
prd538,user901
prd539,user744
prd540,user191
prd541,user94
prd542,user430
prd543,user655
prd544,user937
prd545,user815
prd546,user236
prd547,user248
prd548,user391
prd549,user13
prd550,user967
prd551,user645
prd552,user16
prd553,user872
prd554,user381
prd555,user589
prd556,user371
prd557,user552
prd558,user86
prd559,user944
prd560,user666
prd561,user559
prd562,user236
prd563,user606
prd564,user932
prd565,user118
prd566,user976
prd567,user250
prd568,user535
prd569,user419
prd570,user385
prd571,user260
prd572,user148
prd573,user739
prd574,user750
prd575,user989
prd576,user655
prd577,user420
prd578,user367
prd579,user243
prd580,user672
prd581,user954
prd582,user782
prd583,user863
prd584,user795
prd585,user561
prd586,user348
prd587,user500
prd588,user464
prd589,user593
prd590,user905
prd591,user710
prd592,user209
prd593,user760
prd594,user480
prd595,user802
prd596,user577
prd597,user790
prd598,user984
prd599,user862
prd600,user203
prd601,user451
prd602,user307
prd603,user306
prd604,user811
prd605,user383
prd606,user217
prd607,user903
prd608,user624
prd609,user421
prd610,user518
prd611,user426
prd612,user717
prd613,user21
prd614,user603
prd615,user863
prd616,user204
prd617,user64
prd618,user178
prd619,user966
prd620,user308
prd621,user713
prd622,user364
prd623,user855
prd624,user896
prd625,user644
prd626,user303
prd627,user785
prd628,user851
prd629,user580
prd630,user796
prd631,user264
prd632,user160
prd633,user420
prd634,user525
prd635,user832
prd636,user484
prd637,user451
prd638,user711
prd639,user891
prd640,user657
prd641,user83
prd642,user587
prd643,user129
prd644,user295
prd645,user388
prd646,user879
prd647,user617
prd648,user669
prd649,user929
prd650,user32
prd651,user470
prd652,user227
prd653,user15
prd654,user900
prd655,user511
prd656,user231
prd657,user836
prd658,user559
prd659,user466
prd660,user845
prd661,user913
prd662,user31
prd663,user894
prd664,user138
prd665,user133
prd666,user118
prd667,user228
prd668,user912
prd669,user456
prd670,user61
prd671,user604
prd672,user740
prd673,user897
prd674,user457
prd675,user257
prd676,user158
prd677,user12
prd678,user325
prd679,user438
prd680,user253
prd681,user250
prd682,user114
prd683,user825
prd684,user815
prd685,user363
prd686,user889
prd687,user336
prd688,user368
prd689,user748
prd690,user337
prd691,user625
prd692,user425
prd693,user541
prd694,user266
prd695,user224
prd696,user813
prd697,user480
prd698,user860
prd699,user839
prd700,user832
prd701,user731
prd702,user353
prd703,user167
prd704,user403
prd705,user29
prd706,user336
prd707,user921
prd708,user149
prd709,user712
prd710,user575
prd711,user443
prd712,user615
prd713,user833
prd714,user471
prd715,user730
prd716,user744
prd717,user412
prd718,user649
prd719,user490
prd720,user682
prd721,user703
prd722,user368
prd723,user834
prd724,user488
prd725,user881
prd726,user48
prd727,user890
prd728,user954
prd729,user695
prd730,user34
prd731,user170
prd732,user941
prd733,user504
prd734,user864
prd735,user891
prd736,user633
prd737,user831
prd738,user689
prd739,user196
prd740,user79
prd741,user155
prd742,user152
prd743,user914
prd744,user115
prd745,user554
prd746,user263
prd747,user634
prd748,user609
prd749,user541
prd750,user463
prd751,user39
prd752,user429
prd753,user516
prd754,user72
prd755,user147
prd756,user504
prd757,user914
prd758,user210
prd759,user985
prd760,user291
prd761,user34
prd762,user38
prd763,user920
prd764,user852
prd765,user841
prd766,user345
prd767,user373
prd768,user710
prd769,user367
prd770,user860
prd771,user799
prd772,user285
prd773,user466
prd774,user21
prd775,user260
prd776,user273
prd777,user67
prd778,user609
prd779,user639
prd780,user612
prd781,user494
prd782,user606
prd783,user785
prd784,user685
prd785,user207
prd786,user850
prd787,user311
prd788,user213
prd789,user711
prd790,user851
prd791,user600
prd792,user747
prd793,user29
prd794,user173
prd795,user521
prd796,user202
prd797,user310
prd798,user428
prd799,user842
prd800,user342
prd801,user471
prd802,user203
prd803,user997
prd804,user549
prd805,user701
prd806,user568
prd807,user946
prd808,user386
prd809,user717
prd810,user474
prd811,user236
prd812,user471
prd813,user652
prd814,user723
prd815,user212
prd816,user343
prd817,user625
prd818,user607
prd819,user65
prd820,user165
prd821,user233
prd822,user917
prd823,user837
prd824,user944
prd825,user17
prd826,user659
prd827,user382
prd828,user184
prd829,user354
prd830,user251
prd831,user573
prd832,user939
prd833,user724
prd834,user507
prd835,user137
prd836,user407
prd837,user426
prd838,user689
prd839,user584
prd840,user638
prd841,user239
prd842,user698
prd843,user665
prd844,user519
prd845,user275
prd846,user87
prd847,user407
prd848,user872
prd849,user545
prd850,user342
prd851,user344
prd852,user318
prd853,user756
prd854,user28
prd855,user604
prd856,user569
prd857,user721
prd858,user542
prd859,user256
prd860,user152
prd861,user670
prd862,user79
prd863,user923
prd864,user532
prd865,user324
prd866,user565
prd867,user310
prd868,user729
prd869,user455
prd870,user725
prd871,user92
prd872,user698
prd873,user149
prd874,user991
prd875,user460
prd876,user300
prd877,user62
prd878,user792
prd879,user423
prd880,user778
prd881,user515
prd882,user48
prd883,user946
prd884,user578
prd885,user83
prd886,user545
prd887,user189
prd888,user642
prd889,user949
prd890,user314
prd891,user392
prd892,user917
prd893,user703
prd894,user15
prd895,user99
prd896,user6
prd897,user794
prd898,user424
prd899,user588
prd900,user643
prd901,user794
prd902,user200
prd903,user318
prd904,user963
prd905,user755
prd906,user68
prd907,user788
prd908,user732
prd909,user574
prd910,user987
prd911,user700
prd912,user463
prd913,user382
